Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_quadrat:trap[quadrat_088_trap_408,Intercept]",0.12,0.95,-0.53,0.80,1.001,6406.00,26300.00
"r_quadrat:trap[quadrat_088_trap_438,Intercept]",-0.12,0.95,-0.80,0.51,1.000,6774.00,24053.00
"r_quadrat:trap[quadrat_091_trap_090,Intercept]",-0.00,0.95,-0.43,0.39,1.000,6940.00,18665.00
"r_quadrat:trap[quadrat_091_trap_290,Intercept]",0.09,0.95,-0.57,0.80,1.001,7388.00,27034.00
"r_quadrat:trap[quadrat_092_trap_087,Intercept]",0.01,0.95,-0.42,0.42,1.000,8079.00,17252.00
"r_quadrat:trap[quadrat_092_trap_088,Intercept]",0.04,0.95,-0.43,0.49,1.000,7314.00,19939.00
"r_quadrat:trap[quadrat_092_trap_089,Intercept]",-0.25,0.95,-0.63,0.12,1.000,8432.00,15862.00
"r_quadrat:trap[quadrat_092_trap_287,Intercept]",0.08,0.95,-0.62,0.80,1.001,6863.00,28565.00
"r_quadrat:trap[quadrat_092_trap_288,Intercept]",0.30,0.95,-0.41,0.99,1.001,5933.00,24642.00
"r_quadrat:trap[quadrat_092_trap_289,Intercept]",-0.09,0.95,-0.78,0.59,1.001,6203.00,27016.00
"r_quadrat:trap[quadrat_092_trap_339,Intercept]",-0.30,0.95,-0.81,0.16,1.000,7710.00,18627.00
"r_quadrat:trap[quadrat_093_trap_085,Intercept]",0.16,0.95,-0.24,0.52,1.000,7850.00,15164.00
"r_quadrat:trap[quadrat_093_trap_285,Intercept]",0.09,0.95,-0.56,0.75,1.000,7029.00,24913.00
"r_quadrat:trap[quadrat_098_trap_017,Intercept]",0.22,0.95,-0.20,0.65,1.000,8776.00,17858.00
"r_quadrat:trap[quadrat_098_trap_018,Intercept]",0.05,0.95,-0.40,0.47,1.000,8089.00,19038.00
"r_quadrat:trap[quadrat_098_trap_019,Intercept]",-0.52,0.95,-0.95,-0.12,1.000,8707.00,19158.00
"r_quadrat:trap[quadrat_098_trap_217,Intercept]",-0.10,0.95,-0.80,0.58,1.001,7223.00,28519.00
"r_quadrat:trap[quadrat_098_trap_218,Intercept]",0.24,0.95,-0.42,0.96,1.001,6825.00,26471.00
"r_quadrat:trap[quadrat_098_trap_219,Intercept]",0.03,0.95,-0.64,0.67,1.001,7118.00,25417.00
"r_quadrat:trap[quadrat_099_trap_020,Intercept]",0.14,0.95,-0.26,0.53,1.000,8121.00,16209.00
"r_quadrat:trap[quadrat_099_trap_021,Intercept]",0.18,0.95,-0.22,0.59,1.000,7714.00,18257.00
"r_quadrat:trap[quadrat_099_trap_022,Intercept]",-0.31,0.95,-0.68,0.06,1.000,8009.00,15745.00
"r_quadrat:trap[quadrat_099_trap_220,Intercept]",0.11,0.95,-0.54,0.77,1.001,6560.00,26813.00
"r_quadrat:trap[quadrat_099_trap_221,Intercept]",0.08,0.95,-0.63,0.84,1.001,6613.00,24157.00
"r_quadrat:trap[quadrat_099_trap_222,Intercept]",-0.16,0.95,-0.87,0.47,1.000,6997.00,26121.00
"r_quadrat:trap[quadrat_104_trap_335,Intercept]",-0.38,0.95,-0.93,0.16,1.000,8148.00,19020.00
"r_quadrat:trap[quadrat_107_trap_338,Intercept]",0.08,0.95,-0.41,0.55,1.001,7367.00,22226.00
"r_quadrat:trap[quadrat_108_trap_141,Intercept]",-0.26,0.95,-0.80,0.26,1.000,7610.00,21872.00
"r_quadrat:trap[quadrat_108_trap_142,Intercept]",0.12,0.95,-0.31,0.58,1.000,8015.00,21917.00
"r_quadrat:trap[quadrat_108_trap_143,Intercept]",-0.02,0.95,-0.42,0.37,1.000,8248.00,17831.00
"r_quadrat:trap[quadrat_108_trap_440,Intercept]",0.08,0.95,-0.63,0.77,1.000,7158.00,25239.00
"r_quadrat:trap[quadrat_108_trap_441,Intercept]",0.00,0.95,-0.67,0.74,1.000,6728.00,27172.00
"r_quadrat:trap[quadrat_108_trap_442,Intercept]",-0.02,0.95,-0.72,0.62,1.001,6562.00,27557.00
"r_quadrat:trap[quadrat_108_trap_443,Intercept]",0.10,0.95,-0.55,0.75,1.001,7073.00,28880.00
"r_quadrat:trap[quadrat_109_trap_144,Intercept]",0.33,0.95,-0.09,0.75,1.002,7422.00,18488.00
"r_quadrat:trap[quadrat_109_trap_444,Intercept]",-0.28,0.95,-0.95,0.42,1.000,7415.00,25920.00
"r_quadrat:trap[quadrat_112_trap_086,Intercept]",0.09,0.95,-0.28,0.47,1.000,7507.00,11294.00
"r_quadrat:trap[quadrat_112_trap_286,Intercept]",0.09,0.95,-0.57,0.77,1.002,7193.00,25785.00
"r_quadrat:trap[quadrat_112_trap_347,Intercept]",0.41,0.95,-0.13,0.90,1.001,6848.00,17513.00
"r_quadrat:trap[quadrat_113_trap_080,Intercept]",0.35,0.95,0.01,0.70,1.000,8471.00,12557.00
"r_quadrat:trap[quadrat_113_trap_081,Intercept]",0.15,0.95,-0.24,0.50,1.000,8235.00,14205.00
"r_quadrat:trap[quadrat_113_trap_082,Intercept]",-0.31,0.95,-0.82,0.17,1.001,7385.00,22059.00
"r_quadrat:trap[quadrat_113_trap_083,Intercept]",0.45,0.95,0.12,0.77,1.000,8495.00,11577.00
"r_quadrat:trap[quadrat_113_trap_084,Intercept]",-0.12,0.95,-0.49,0.25,1.001,8246.00,13320.00
"r_quadrat:trap[quadrat_113_trap_280,Intercept]",0.13,0.95,-0.55,0.81,1.000,6912.00,27119.00
"r_quadrat:trap[quadrat_113_trap_281,Intercept]",-0.15,0.95,-0.82,0.53,1.001,7224.00,28294.00
"r_quadrat:trap[quadrat_113_trap_282,Intercept]",-0.01,0.95,-0.73,0.72,1.002,6460.00,26493.00
"r_quadrat:trap[quadrat_113_trap_283,Intercept]",0.03,0.95,-0.56,0.64,1.000,6905.00,25667.00
"r_quadrat:trap[quadrat_113_trap_284,Intercept]",-0.18,0.95,-0.82,0.46,1.001,6953.00,26470.00
"r_quadrat:trap[quadrat_117_trap_342,Intercept]",0.67,0.95,0.10,1.18,1.001,7104.00,11830.00
"r_quadrat:trap[quadrat_118_trap_013,Intercept]",0.26,0.95,-0.07,0.57,1.001,8075.00,11552.00
"r_quadrat:trap[quadrat_118_trap_014,Intercept]",-0.01,0.95,-0.37,0.36,1.000,8835.00,15976.00
"r_quadrat:trap[quadrat_118_trap_015,Intercept]",-0.04,0.95,-0.43,0.35,1.000,7811.00,15318.00
"r_quadrat:trap[quadrat_118_trap_016,Intercept]",0.02,0.95,-0.42,0.46,1.000,7632.00,15212.00
"r_quadrat:trap[quadrat_118_trap_213,Intercept]",0.27,0.95,-0.33,0.88,1.000,6645.00,20870.00
"r_quadrat:trap[quadrat_118_trap_214,Intercept]",-0.03,0.95,-0.68,0.63,1.001,6943.00,24271.00
"r_quadrat:trap[quadrat_118_trap_215,Intercept]",-0.07,0.95,-0.73,0.60,1.002,6857.00,26486.00
"r_quadrat:trap[quadrat_118_trap_216,Intercept]",-0.11,0.95,-0.84,0.60,1.000,6519.00,28584.00
"r_quadrat:trap[quadrat_119_trap_043,Intercept]",-0.30,0.95,-0.79,0.21,1.000,7826.00,17224.00
"r_quadrat:trap[quadrat_119_trap_243,Intercept]",-0.07,0.95,-0.81,0.65,1.000,7749.00,23889.00
"r_quadrat:trap[quadrat_120_trap_039,Intercept]",0.21,0.95,-0.18,0.60,1.001,8121.00,16481.00
"r_quadrat:trap[quadrat_120_trap_041,Intercept]",-0.20,0.95,-0.53,0.16,1.001,8360.00,13517.00
"r_quadrat:trap[quadrat_120_trap_042,Intercept]",-0.25,0.95,-0.66,0.13,1.000,8192.00,16275.00
"r_quadrat:trap[quadrat_120_trap_239,Intercept]",0.21,0.95,-0.49,0.88,1.000,6702.00,25259.00
"r_quadrat:trap[quadrat_120_trap_241,Intercept]",-0.10,0.95,-0.75,0.57,1.000,6490.00,26892.00
"r_quadrat:trap[quadrat_120_trap_242,Intercept]",0.06,0.95,-0.63,0.72,1.001,7020.00,24690.00
"r_quadrat:trap[quadrat_128_trap_145,Intercept]",0.02,0.95,-0.49,0.51,1.001,7207.00,22140.00
"r_quadrat:trap[quadrat_128_trap_147,Intercept]",-0.54,0.95,-1.07,0.01,1.000,7653.00,18429.00
"r_quadrat:trap[quadrat_128_trap_149,Intercept]",0.09,0.95,-0.29,0.47,1.000,8821.00,17080.00
"r_quadrat:trap[quadrat_128_trap_445,Intercept]",0.29,0.95,-0.42,1.04,1.000,6353.00,24391.00
"r_quadrat:trap[quadrat_128_trap_447,Intercept]",-0.04,0.95,-0.75,0.70,1.002,6757.00,24200.00
"r_quadrat:trap[quadrat_128_trap_449,Intercept]",-0.09,0.95,-0.85,0.58,1.001,6652.00,26559.00
"r_quadrat:trap[quadrat_129_trap_146,Intercept]",0.11,0.95,-0.29,0.52,1.000,8545.00,15806.00
"r_quadrat:trap[quadrat_129_trap_148,Intercept]",-0.24,0.95,-0.72,0.18,1.000,8416.00,18466.00
"r_quadrat:trap[quadrat_129_trap_344,Intercept]",-0.19,0.95,-0.68,0.34,1.001,8274.00,17061.00
"r_quadrat:trap[quadrat_129_trap_446,Intercept]",-0.12,0.95,-0.78,0.51,1.001,6731.00,27170.00
"r_quadrat:trap[quadrat_129_trap_448,Intercept]",0.03,0.95,-0.66,0.77,1.001,6718.00,25479.00
"r_quadrat:trap[quadrat_130_trap_305,Intercept]",0.27,0.95,-0.24,0.76,1.000,7938.00,22241.00
"r_quadrat:trap[quadrat_130_trap_320,Intercept]",-0.12,0.95,-0.64,0.34,1.000,8053.00,21367.00
"r_quadrat:trap[quadrat_131_trap_321,Intercept]",0.98,0.95,0.46,1.58,1.001,7025.00,10735.00
"r_quadrat:trap[quadrat_131_trap_322,Intercept]",-0.23,0.95,-0.72,0.24,1.001,7326.00,18125.00
"r_quadrat:trap[quadrat_131_trap_323,Intercept]",-0.13,0.95,-0.65,0.44,1.001,8029.00,23348.00
"r_quadrat:trap[quadrat_131_trap_324,Intercept]",0.14,0.95,-0.45,0.70,1.001,7326.00,21769.00
"r_quadrat:trap[quadrat_134_trap_075,Intercept]",-0.23,0.95,-0.65,0.22,1.000,7286.00,20207.00
"r_quadrat:trap[quadrat_134_trap_076,Intercept]",-0.03,0.95,-0.51,0.40,1.000,7740.00,21401.00
"r_quadrat:trap[quadrat_134_trap_077,Intercept]",0.13,0.95,-0.35,0.61,1.000,7017.00,21598.00
"r_quadrat:trap[quadrat_134_trap_078,Intercept]",0.12,0.95,-0.34,0.58,1.000,7957.00,21929.00
"r_quadrat:trap[quadrat_134_trap_079,Intercept]",-0.21,0.95,-0.61,0.20,1.000,7343.00,18230.00
"r_quadrat:trap[quadrat_134_trap_276,Intercept]",-0.07,0.95,-0.79,0.61,1.001,6974.00,27283.00
"r_quadrat:trap[quadrat_134_trap_277,Intercept]",-0.07,0.95,-0.77,0.66,1.000,6944.00,24412.00
"r_quadrat:trap[quadrat_134_trap_278,Intercept]",0.14,0.95,-0.58,0.82,1.000,6778.00,25104.00
"r_quadrat:trap[quadrat_134_trap_279,Intercept]",0.08,0.95,-0.59,0.72,1.000,6832.00,27136.00
"r_quadrat:trap[quadrat_137_trap_009,Intercept]",-0.29,0.95,-0.79,0.20,1.000,7957.00,19417.00
"r_quadrat:trap[quadrat_137_trap_209,Intercept]",-0.01,0.95,-0.80,0.69,1.000,6559.00,26792.00
"r_quadrat:trap[quadrat_138_trap_008,Intercept]",0.09,0.95,-0.33,0.53,1.001,7475.00,17508.00
"r_quadrat:trap[quadrat_138_trap_010,Intercept]",-0.48,0.95,-1.04,0.10,1.001,6907.00,19159.00
"r_quadrat:trap[quadrat_138_trap_011,Intercept]",-0.04,0.95,-0.43,0.34,1.000,8191.00,14020.00
"r_quadrat:trap[quadrat_138_trap_012,Intercept]",0.09,0.95,-0.28,0.44,1.000,8449.00,12867.00
"r_quadrat:trap[quadrat_138_trap_210,Intercept]",-0.00,0.95,-0.76,0.76,1.000,6628.00,27279.00
"r_quadrat:trap[quadrat_138_trap_211,Intercept]",0.02,0.95,-0.65,0.65,1.000,7286.00,26232.00
"r_quadrat:trap[quadrat_138_trap_212,Intercept]",-0.09,0.95,-0.77,0.58,1.002,6530.00,24379.00
"r_quadrat:trap[quadrat_139_trap_045,Intercept]",0.38,0.95,-0.05,0.81,1.000,7621.00,19113.00
"r_quadrat:trap[quadrat_139_trap_047,Intercept]",-0.59,0.95,-1.11,-0.12,1.001,7996.00,20197.00
"r_quadrat:trap[quadrat_139_trap_049,Intercept]",-0.32,0.95,-0.73,0.12,1.001,8834.00,16224.00
"r_quadrat:trap[quadrat_139_trap_245,Intercept]",0.17,0.95,-0.59,0.86,1.000,6675.00,30207.00
"r_quadrat:trap[quadrat_139_trap_247,Intercept]",0.10,0.95,-0.64,0.80,1.000,6843.00,26313.00
"r_quadrat:trap[quadrat_139_trap_249,Intercept]",0.01,0.95,-0.66,0.70,1.001,7229.00,27712.00
"r_quadrat:trap[quadrat_139_trap_316,Intercept]",-0.03,0.95,-0.51,0.47,1.000,7862.00,18516.00
"r_quadrat:trap[quadrat_140_trap_044,Intercept]",0.06,0.95,-0.33,0.46,1.000,8672.00,17236.00
"r_quadrat:trap[quadrat_140_trap_046,Intercept]",-0.27,0.95,-0.63,0.08,1.000,7727.00,15019.00
"r_quadrat:trap[quadrat_140_trap_244,Intercept]",0.07,0.95,-0.60,0.73,1.000,6946.00,26498.00
"r_quadrat:trap[quadrat_140_trap_246,Intercept]",0.05,0.95,-0.62,0.66,1.001,7316.00,25486.00
"r_quadrat:trap[quadrat_141_trap_199,Intercept]",0.20,0.95,-0.23,0.65,1.000,7774.00,17678.00
"r_quadrat:trap[quadrat_141_trap_200,Intercept]",0.04,0.95,-0.34,0.44,1.000,8543.00,15348.00
"r_quadrat:trap[quadrat_141_trap_499,Intercept]",0.17,0.95,-0.53,0.88,1.001,6837.00,27205.00
"r_quadrat:trap[quadrat_142_trap_197,Intercept]",-0.21,0.95,-0.81,0.37,1.001,6996.00,23056.00
"r_quadrat:trap[quadrat_142_trap_497,Intercept]",-0.03,0.95,-0.77,0.72,1.000,6778.00,28432.00
"r_quadrat:trap[quadrat_143_trap_334,Intercept]",0.07,0.95,-0.42,0.54,1.000,7873.00,23199.00
"r_quadrat:trap[quadrat_145_trap_336,Intercept]",0.09,0.95,-0.44,0.60,1.000,7382.00,22146.00
"r_quadrat:trap[quadrat_146_trap_179,Intercept]",-0.36,0.95,-0.92,0.14,1.000,8136.00,19811.00
"r_quadrat:trap[quadrat_146_trap_479,Intercept]",0.07,0.95,-0.65,0.76,1.000,7209.00,24777.00
"r_quadrat:trap[quadrat_146_trap_481,Intercept]",-0.07,0.95,-0.74,0.59,1.001,6890.00,24901.00
"r_quadrat:trap[quadrat_147_trap_175,Intercept]",0.44,0.95,0.00,0.85,1.000,7561.00,13666.00
"r_quadrat:trap[quadrat_147_trap_177,Intercept]",0.21,0.95,-0.25,0.66,1.001,7815.00,16345.00
"r_quadrat:trap[quadrat_147_trap_346,Intercept]",-0.25,0.95,-0.76,0.25,1.000,7572.00,20804.00
"r_quadrat:trap[quadrat_147_trap_475,Intercept]",0.01,0.95,-0.66,0.67,1.000,7345.00,25474.00
"r_quadrat:trap[quadrat_147_trap_477,Intercept]",0.07,0.95,-0.64,0.79,1.001,7382.00,26517.00
"r_quadrat:trap[quadrat_148_trap_151,Intercept]",-0.04,0.95,-0.45,0.37,1.001,8280.00,15729.00
"r_quadrat:trap[quadrat_148_trap_171,Intercept]",-0.21,0.95,-0.60,0.16,1.001,8780.00,17057.00
"r_quadrat:trap[quadrat_148_trap_173,Intercept]",0.35,0.95,-0.03,0.73,1.000,8660.00,12642.00
"r_quadrat:trap[quadrat_148_trap_451,Intercept]",0.01,0.95,-0.69,0.72,1.001,7133.00,26741.00
"r_quadrat:trap[quadrat_148_trap_471,Intercept]",0.05,0.95,-0.58,0.71,1.001,7083.00,30000.00
"r_quadrat:trap[quadrat_148_trap_473,Intercept]",0.29,0.95,-0.37,0.94,1.001,6433.00,21232.00
"r_quadrat:trap[quadrat_149_trap_150,Intercept]",-0.50,0.95,-1.06,0.01,1.000,7393.00,15812.00
"r_quadrat:trap[quadrat_149_trap_169,Intercept]",-0.08,0.95,-0.48,0.34,1.000,8185.00,13493.00
"r_quadrat:trap[quadrat_149_trap_319,Intercept]",0.07,0.95,-0.42,0.52,1.001,7910.00,18484.00
"r_quadrat:trap[quadrat_149_trap_450,Intercept]",0.02,0.95,-0.72,0.70,1.001,6909.00,28955.00
"r_quadrat:trap[quadrat_149_trap_467,Intercept]",-0.03,0.95,-0.75,0.72,1.001,6872.00,24414.00
"r_quadrat:trap[quadrat_150_trap_167,Intercept]",-0.05,0.95,-0.67,0.48,1.000,7596.00,24228.00
"r_quadrat:trap[quadrat_154_trap_072,Intercept]",0.23,0.95,-0.15,0.59,1.000,8465.00,15163.00
"r_quadrat:trap[quadrat_154_trap_074,Intercept]",-0.47,0.95,-0.88,-0.06,1.000,7903.00,14279.00
"r_quadrat:trap[quadrat_154_trap_272,Intercept]",0.20,0.95,-0.47,0.88,1.001,6956.00,25487.00
"r_quadrat:trap[quadrat_154_trap_274,Intercept]",-0.01,0.95,-0.69,0.65,1.000,7141.00,28550.00
"r_quadrat:trap[quadrat_154_trap_275,Intercept]",-0.14,0.95,-0.85,0.59,1.001,6638.00,25077.00
"r_quadrat:trap[quadrat_155_trap_071,Intercept]",0.34,0.95,-0.06,0.72,1.001,7788.00,15678.00
"r_quadrat:trap[quadrat_155_trap_073,Intercept]",-0.19,0.95,-0.57,0.19,1.001,7765.00,15347.00
"r_quadrat:trap[quadrat_155_trap_271,Intercept]",-0.29,0.95,-0.91,0.30,1.000,7446.00,22595.00
"r_quadrat:trap[quadrat_155_trap_273,Intercept]",0.17,0.95,-0.51,0.82,1.001,5760.00,25459.00
"r_quadrat:trap[quadrat_157_trap_005,Intercept]",-0.12,0.95,-0.55,0.28,1.000,8641.00,17661.00
"r_quadrat:trap[quadrat_157_trap_205,Intercept]",-0.04,0.95,-0.69,0.60,1.001,6843.00,26898.00
"r_quadrat:trap[quadrat_158_trap_006,Intercept]",0.73,0.95,0.35,1.09,1.001,7613.00,5797.00
"r_quadrat:trap[quadrat_158_trap_007,Intercept]",0.06,0.95,-0.35,0.43,1.000,7120.00,8369.00
"r_quadrat:trap[quadrat_158_trap_051,Intercept]",0.12,0.95,-0.33,0.54,1.001,7861.00,11629.00
"r_quadrat:trap[quadrat_158_trap_053,Intercept]",-0.07,0.95,-0.51,0.39,1.001,7541.00,10734.00
"r_quadrat:trap[quadrat_158_trap_206,Intercept]",0.29,0.95,-0.39,0.96,1.001,6938.00,20053.00
"r_quadrat:trap[quadrat_158_trap_207,Intercept]",-0.07,0.95,-0.80,0.61,1.001,6583.00,25607.00
"r_quadrat:trap[quadrat_158_trap_208,Intercept]",0.00,0.95,-0.71,0.69,1.002,6963.00,27306.00
"r_quadrat:trap[quadrat_158_trap_251,Intercept]",0.16,0.95,-0.56,0.85,1.000,7103.00,26508.00
"r_quadrat:trap[quadrat_158_trap_253,Intercept]",-0.12,0.95,-0.78,0.62,1.002,6899.00,24252.00
"r_quadrat:trap[quadrat_159_trap_048,Intercept]",0.16,0.95,-0.20,0.55,1.000,8318.00,15023.00
"r_quadrat:trap[quadrat_159_trap_050,Intercept]",-0.03,0.95,-0.45,0.38,1.000,8120.00,17935.00
"r_quadrat:trap[quadrat_159_trap_052,Intercept]",-0.34,0.95,-0.73,0.05,1.000,8934.00,15212.00
"r_quadrat:trap[quadrat_159_trap_248,Intercept]",-0.07,0.95,-0.77,0.61,1.000,7341.00,25114.00
"r_quadrat:trap[quadrat_159_trap_250,Intercept]",-0.09,0.95,-0.82,0.66,1.001,6881.00,25080.00
"r_quadrat:trap[quadrat_159_trap_252,Intercept]",0.03,0.95,-0.63,0.66,1.001,7441.00,26454.00
"r_quadrat:trap[quadrat_159_trap_349,Intercept]",-0.04,0.95,-0.60,0.47,1.000,7246.00,24092.00
"r_quadrat:trap[quadrat_161_trap_345,Intercept]",-0.26,0.95,-0.86,0.30,1.001,6767.00,21028.00
"r_quadrat:trap[quadrat_161_trap_500,Intercept]",0.31,0.95,-0.38,1.01,1.000,7190.00,27513.00
"r_quadrat:trap[quadrat_162_trap_194,Intercept]",0.27,0.95,-0.10,0.66,1.000,8081.00,17659.00
"r_quadrat:trap[quadrat_162_trap_195,Intercept]",0.06,0.95,-0.46,0.53,1.000,7616.00,24135.00
"r_quadrat:trap[quadrat_162_trap_196,Intercept]",-0.20,0.95,-0.58,0.15,1.000,8389.00,16538.00
"r_quadrat:trap[quadrat_162_trap_198,Intercept]",-0.11,0.95,-0.60,0.33,1.002,7500.00,23310.00
"r_quadrat:trap[quadrat_162_trap_494,Intercept]",0.15,0.95,-0.48,0.84,1.000,6984.00,26547.00
"r_quadrat:trap[quadrat_162_trap_495,Intercept]",-0.04,0.95,-0.69,0.64,1.000,6863.00,26945.00
"r_quadrat:trap[quadrat_162_trap_496,Intercept]",0.04,0.95,-0.63,0.70,1.000,7545.00,25913.00
"r_quadrat:trap[quadrat_162_trap_498,Intercept]",0.05,0.95,-0.65,0.77,1.001,6527.00,27196.00
"r_quadrat:trap[quadrat_163_trap_191,Intercept]",-0.09,0.95,-0.51,0.36,1.000,6469.00,10437.00
"r_quadrat:trap[quadrat_163_trap_192,Intercept]",-0.22,0.95,-0.66,0.21,1.000,8004.00,9342.00
"r_quadrat:trap[quadrat_163_trap_193,Intercept]",-0.20,0.95,-0.62,0.22,1.000,7488.00,9376.00
"r_quadrat:trap[quadrat_163_trap_491,Intercept]",0.19,0.95,-0.42,0.85,1.001,6918.00,24273.00
"r_quadrat:trap[quadrat_163_trap_492,Intercept]",-0.33,0.95,-1.03,0.33,1.001,6971.00,20614.00
"r_quadrat:trap[quadrat_163_trap_493,Intercept]",-0.27,0.95,-0.94,0.39,1.001,7213.00,23395.00
"r_quadrat:trap[quadrat_164_trap_187,Intercept]",0.37,0.95,-0.10,0.82,1.001,7553.00,18604.00
"r_quadrat:trap[quadrat_164_trap_188,Intercept]",-0.62,0.95,-1.18,-0.09,1.000,7518.00,16209.00
"r_quadrat:trap[quadrat_164_trap_189,Intercept]",-0.24,0.95,-0.64,0.17,1.000,7602.00,15645.00
"r_quadrat:trap[quadrat_164_trap_190,Intercept]",-0.03,0.95,-0.43,0.38,1.000,8072.00,16589.00
"r_quadrat:trap[quadrat_164_trap_487,Intercept]",-0.05,0.95,-0.79,0.66,1.001,7090.00,27580.00
"r_quadrat:trap[quadrat_164_trap_488,Intercept]",-0.12,0.95,-0.85,0.58,1.000,6468.00,26489.00
"r_quadrat:trap[quadrat_164_trap_489,Intercept]",0.06,0.95,-0.67,0.70,1.000,6893.00,27929.00
"r_quadrat:trap[quadrat_164_trap_490,Intercept]",0.26,0.95,-0.45,0.94,1.001,7003.00,26983.00
"r_quadrat:trap[quadrat_165_trap_183,Intercept]",-0.08,0.95,-0.49,0.29,1.000,8815.00,12498.00
"r_quadrat:trap[quadrat_165_trap_184,Intercept]",0.15,0.95,-0.26,0.54,1.000,7993.00,11474.00
"r_quadrat:trap[quadrat_165_trap_185,Intercept]",-0.26,0.95,-0.69,0.19,1.000,7794.00,15741.00
"r_quadrat:trap[quadrat_165_trap_186,Intercept]",0.76,0.95,0.33,1.20,1.000,7532.00,10164.00
"r_quadrat:trap[quadrat_165_trap_483,Intercept]",0.03,0.95,-0.63,0.69,1.000,7278.00,26495.00
"r_quadrat:trap[quadrat_165_trap_484,Intercept]",-0.01,0.95,-0.67,0.66,1.001,6790.00,26947.00
"r_quadrat:trap[quadrat_165_trap_485,Intercept]",0.13,0.95,-0.56,0.83,1.000,6190.00,25730.00
"r_quadrat:trap[quadrat_165_trap_486,Intercept]",0.08,0.95,-0.66,0.76,1.000,7004.00,26959.00
"r_quadrat:trap[quadrat_166_trap_180,Intercept]",-0.25,0.95,-0.72,0.16,1.001,7061.00,16586.00
"r_quadrat:trap[quadrat_166_trap_181,Intercept]",-0.40,0.95,-0.78,-0.00,1.000,8361.00,13152.00
"r_quadrat:trap[quadrat_166_trap_182,Intercept]",0.51,0.95,0.15,0.87,1.000,8699.00,11662.00
"r_quadrat:trap[quadrat_166_trap_480,Intercept]",-0.26,0.95,-0.96,0.42,1.000,6568.00,24333.00
"r_quadrat:trap[quadrat_166_trap_482,Intercept]",0.09,0.95,-0.54,0.70,1.001,6500.00,25315.00
"r_quadrat:trap[quadrat_167_trap_176,Intercept]",-0.51,0.95,-0.94,-0.07,1.001,8400.00,9952.00
"r_quadrat:trap[quadrat_167_trap_178,Intercept]",-0.41,0.95,-0.83,-0.00,1.000,7577.00,8569.00
"r_quadrat:trap[quadrat_167_trap_476,Intercept]",0.08,0.95,-0.56,0.73,1.000,6880.00,25873.00
"r_quadrat:trap[quadrat_167_trap_478,Intercept]",0.17,0.95,-0.55,0.85,1.000,6825.00,23249.00
"r_quadrat:trap[quadrat_168_trap_172,Intercept]",-0.40,0.95,-0.91,0.08,1.000,7972.00,21350.00
"r_quadrat:trap[quadrat_168_trap_174,Intercept]",0.42,0.95,-0.03,0.88,1.001,7552.00,19685.00
"r_quadrat:trap[quadrat_168_trap_472,Intercept]",-0.10,0.95,-0.82,0.61,1.001,7083.00,28766.00
"r_quadrat:trap[quadrat_168_trap_474,Intercept]",-0.03,0.95,-0.77,0.68,1.002,6867.00,27860.00
"r_quadrat:trap[quadrat_169_trap_168,Intercept]",0.16,0.95,-0.21,0.51,1.000,7683.00,9375.00
"r_quadrat:trap[quadrat_169_trap_170,Intercept]",0.22,0.95,-0.21,0.58,1.000,7486.00,11959.00
"r_quadrat:trap[quadrat_169_trap_468,Intercept]",0.17,0.95,-0.50,0.85,1.001,6840.00,23713.00
"r_quadrat:trap[quadrat_169_trap_469,Intercept]",-0.16,0.95,-0.87,0.56,1.000,7435.00,24550.00
"r_quadrat:trap[quadrat_169_trap_470,Intercept]",0.26,0.95,-0.40,0.90,1.001,7129.00,22488.00
"r_quadrat:trap[quadrat_170_trap_164,Intercept]",-0.18,0.95,-0.71,0.32,1.001,7050.00,24101.00
"r_quadrat:trap[quadrat_170_trap_165,Intercept]",0.39,0.95,0.01,0.73,1.000,8439.00,15579.00
"r_quadrat:trap[quadrat_170_trap_166,Intercept]",-0.21,0.95,-0.65,0.21,1.000,8217.00,20620.00
"r_quadrat:trap[quadrat_170_trap_325,Intercept]",0.29,0.95,-0.13,0.69,1.001,7929.00,20783.00
"r_quadrat:trap[quadrat_170_trap_464,Intercept]",0.05,0.95,-0.66,0.78,1.000,6991.00,26669.00
"r_quadrat:trap[quadrat_170_trap_465,Intercept]",-0.07,0.95,-0.73,0.58,1.000,6595.00,25628.00
"r_quadrat:trap[quadrat_170_trap_466,Intercept]",-0.17,0.95,-0.87,0.56,1.001,6501.00,22852.00
"r_quadrat:trap[quadrat_171_trap_161,Intercept]",-0.22,0.95,-0.78,0.32,1.001,6993.00,23695.00
"r_quadrat:trap[quadrat_171_trap_162,Intercept]",0.03,0.95,-0.49,0.53,1.001,7589.00,22330.00
"r_quadrat:trap[quadrat_171_trap_163,Intercept]",-0.00,0.95,-0.39,0.39,1.000,7203.00,15952.00
"r_quadrat:trap[quadrat_171_trap_461,Intercept]",0.04,0.95,-0.71,0.72,1.001,6894.00,24335.00
"r_quadrat:trap[quadrat_171_trap_462,Intercept]",0.08,0.95,-0.61,0.77,1.000,7101.00,23853.00
"r_quadrat:trap[quadrat_171_trap_463,Intercept]",-0.13,0.95,-0.82,0.60,1.001,6845.00,28872.00
"r_quadrat:trap[quadrat_172_trap_159,Intercept]",-0.03,0.95,-0.47,0.46,1.000,7591.00,18295.00
