Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_quadrat[quadrat_141,Intercept]",0.05,0.95,-0.19,0.36,1.001,6397.00,9513.00
"r_quadrat[quadrat_142,Intercept]",-0.03,0.95,-0.35,0.27,1.003,6122.00,18619.00
"r_quadrat[quadrat_143,Intercept]",0.01,0.95,-0.29,0.31,1.001,7153.00,21144.00
"r_quadrat[quadrat_145,Intercept]",0.01,0.95,-0.27,0.33,1.002,7426.00,22849.00
"r_quadrat[quadrat_146,Intercept]",-0.05,0.95,-0.36,0.23,1.000,7249.00,12128.00
"r_quadrat[quadrat_147,Intercept]",0.06,0.95,-0.18,0.35,1.000,7922.00,8210.00
"r_quadrat[quadrat_148,Intercept]",0.06,0.95,-0.16,0.33,1.001,7637.00,8968.00
"r_quadrat[quadrat_149,Intercept]",-0.07,0.95,-0.35,0.19,1.001,7266.00,8209.00
"r_quadrat[quadrat_150,Intercept]",-0.01,0.95,-0.31,0.29,1.001,6205.00,21577.00
"r_quadrat[quadrat_154,Intercept]",-0.02,0.95,-0.28,0.25,1.001,7693.00,13021.00
"r_quadrat[quadrat_155,Intercept]",0.00,0.95,-0.26,0.26,1.002,8282.00,13924.00
"r_quadrat[quadrat_157,Intercept]",-0.02,0.95,-0.34,0.23,1.001,6651.00,16654.00
"r_quadrat[quadrat_158,Intercept]",0.15,0.95,-0.06,0.45,1.002,6229.00,2970.00
"r_quadrat[quadrat_159,Intercept]",-0.05,0.95,-0.30,0.19,1.000,7805.00,10955.00
"r_quadrat[quadrat_161,Intercept]",0.00,0.95,-0.29,0.30,1.002,6767.00,24256.00
"r_quadrat[quadrat_162,Intercept]",0.03,0.95,-0.21,0.26,1.001,8449.00,12929.00
"r_quadrat[quadrat_163,Intercept]",-0.13,0.95,-0.42,0.10,1.001,7098.00,3506.00
"r_quadrat[quadrat_164,Intercept]",-0.05,0.95,-0.33,0.17,1.000,6251.00,9545.00
"r_quadrat[quadrat_165,Intercept]",0.10,0.95,-0.12,0.38,1.001,6471.00,4290.00
"r_quadrat[quadrat_166,Intercept]",-0.04,0.95,-0.30,0.20,1.001,8233.00,10595.00
"r_quadrat[quadrat_167,Intercept]",-0.09,0.95,-0.39,0.16,1.001,7067.00,4882.00
"r_quadrat[quadrat_168,Intercept]",-0.01,0.95,-0.30,0.25,1.000,6878.00,17354.00
"r_quadrat[quadrat_169,Intercept]",0.08,0.95,-0.16,0.37,1.001,7070.00,5933.00
"r_quadrat[quadrat_170,Intercept]",0.01,0.95,-0.22,0.26,1.001,8589.00,13306.00
"r_quadrat[quadrat_171,Intercept]",-0.03,0.95,-0.30,0.21,1.001,7543.00,13902.00
"r_quadrat[quadrat_172,Intercept]",0.04,0.95,-0.21,0.34,1.001,7752.00,11912.00
"r_quadrat[quadrat_174,Intercept]",-0.04,0.95,-0.36,0.23,1.000,7440.00,12271.00
"r_quadrat[quadrat_175,Intercept]",-0.05,0.95,-0.33,0.18,1.001,7106.00,10849.00
"r_quadrat[quadrat_177,Intercept]",0.04,0.95,-0.20,0.29,1.001,7603.00,8584.00
"r_quadrat[quadrat_178,Intercept]",-0.08,0.95,-0.34,0.13,1.001,7845.00,5879.00
"r_quadrat[quadrat_191,Intercept]",-0.03,0.95,-0.35,0.25,1.000,7264.00,16877.00
"r_quadrat[quadrat_192,Intercept]",-0.16,0.95,-0.47,0.08,1.003,6277.00,2977.00
"r_quadrat[quadrat_193,Intercept]",-0.02,0.95,-0.30,0.25,1.002,8279.00,18220.00
"r_quadrat[quadrat_194,Intercept]",0.02,0.95,-0.24,0.32,1.001,7758.00,13507.00
"r_quadrat[quadrat_195,Intercept]",-0.04,0.95,-0.37,0.22,1.001,6579.00,11095.00
"r_quadrat[quadrat_197,Intercept]",0.01,0.95,-0.26,0.28,1.002,7826.00,15314.00
"r_quadrat:trap[quadrat_003_trap_134,Intercept]",0.21,0.95,-0.19,0.63,1.001,7804.00,16428.00
"r_quadrat:trap[quadrat_004_trap_129,Intercept]",0.35,0.95,-0.08,0.76,1.000,8282.00,17359.00
"r_quadrat:trap[quadrat_004_trap_130,Intercept]",-0.25,0.95,-0.69,0.18,1.000,8362.00,14106.00
"r_quadrat:trap[quadrat_004_trap_132,Intercept]",-0.48,0.95,-0.97,0.02,1.000,8216.00,17715.00
"r_quadrat:trap[quadrat_004_trap_429,Intercept]",0.10,0.95,-0.61,0.75,1.002,6492.00,27116.00
"r_quadrat:trap[quadrat_004_trap_430,Intercept]",-0.17,0.95,-0.80,0.44,1.000,7344.00,23175.00
"r_quadrat:trap[quadrat_004_trap_432,Intercept]",0.08,0.95,-0.61,0.77,1.000,6789.00,27905.00
"r_quadrat:trap[quadrat_009_trap_301,Intercept]",0.26,0.95,-0.26,0.73,1.000,7635.00,17945.00
"r_quadrat:trap[quadrat_010_trap_302,Intercept]",-0.23,0.95,-0.79,0.30,1.001,7351.00,20831.00
"r_quadrat:trap[quadrat_016_trap_314,Intercept]",-0.36,0.95,-0.86,0.14,1.000,7944.00,15967.00
"r_quadrat:trap[quadrat_020_trap_035,Intercept]",-0.01,0.95,-0.43,0.40,1.000,8226.00,17896.00
"r_quadrat:trap[quadrat_020_trap_235,Intercept]",-0.03,0.95,-0.74,0.69,1.001,7035.00,25702.00
"r_quadrat:trap[quadrat_020_trap_330,Intercept]",0.03,0.95,-0.46,0.50,1.001,8232.00,22362.00
"r_quadrat:trap[quadrat_024_trap_126,Intercept]",-0.29,0.95,-0.69,0.13,1.000,7406.00,13661.00
"r_quadrat:trap[quadrat_024_trap_128,Intercept]",0.30,0.95,-0.14,0.74,1.000,8294.00,16131.00
"r_quadrat:trap[quadrat_024_trap_426,Intercept]",-0.63,0.95,-1.33,0.05,1.000,7000.00,18119.00
"r_quadrat:trap[quadrat_024_trap_428,Intercept]",0.06,0.95,-0.59,0.75,1.000,6899.00,26881.00
"r_quadrat:trap[quadrat_025_trap_125,Intercept]",0.57,0.95,0.17,0.97,1.000,7770.00,7409.00
"r_quadrat:trap[quadrat_025_trap_127,Intercept]",0.29,0.95,-0.14,0.68,1.000,8054.00,9780.00
"r_quadrat:trap[quadrat_025_trap_317,Intercept]",0.01,0.95,-0.45,0.44,1.001,6384.00,12199.00
"r_quadrat:trap[quadrat_025_trap_318,Intercept]",0.35,0.95,-0.09,0.81,1.001,8618.00,9591.00
"r_quadrat:trap[quadrat_025_trap_337,Intercept]",-0.40,0.95,-0.91,0.12,1.000,7438.00,19031.00
"r_quadrat:trap[quadrat_025_trap_425,Intercept]",0.22,0.95,-0.44,0.91,1.001,6563.00,24339.00
"r_quadrat:trap[quadrat_025_trap_427,Intercept]",0.02,0.95,-0.65,0.68,1.001,6996.00,25177.00
"r_quadrat:trap[quadrat_027_trap_327,Intercept]",0.48,0.95,0.02,0.97,1.000,8056.00,17178.00
"r_quadrat:trap[quadrat_027_trap_328,Intercept]",-0.06,0.95,-0.55,0.39,1.000,8348.00,18823.00
"r_quadrat:trap[quadrat_039_trap_031,Intercept]",-0.37,0.95,-0.85,0.08,1.001,7608.00,13543.00
"r_quadrat:trap[quadrat_039_trap_231,Intercept]",-0.06,0.95,-0.83,0.63,1.001,6333.00,25051.00
"r_quadrat:trap[quadrat_040_trap_032,Intercept]",0.08,0.95,-0.29,0.48,1.000,8131.00,17676.00
"r_quadrat:trap[quadrat_040_trap_033,Intercept]",0.36,0.95,-0.05,0.77,1.000,7618.00,17159.00
"r_quadrat:trap[quadrat_040_trap_034,Intercept]",-0.25,0.95,-0.65,0.18,1.000,8768.00,16875.00
"r_quadrat:trap[quadrat_040_trap_232,Intercept]",-0.14,0.95,-0.85,0.54,1.000,6732.00,24010.00
"r_quadrat:trap[quadrat_040_trap_233,Intercept]",0.10,0.95,-0.58,0.75,1.002,6953.00,28321.00
"r_quadrat:trap[quadrat_040_trap_234,Intercept]",-0.09,0.95,-0.79,0.60,1.001,6778.00,29426.00
